Adjacency,C[LM[Atomic radius]],C[LM[Charge]],C[LM[Covalent radius]],C[LM[Electronegativity]],C[LM[Mass]],C[LM[Specific heat]],C[LM[vdWRadius]],C[Sh[Adjacency]],C[Sh[CfMax]],C[Sh[CfMin]],C[Sh[CjMax]],C[Sh[CjMin]],C[Sh[Conectivity]],C[Sh[D3D]],C[Sh[Detour]],C[Sh[Distance]],Conectivity,CS[LM[Atomic radius]],CS[LM[Charge]],CS[LM[Covalent radius]],CS[LM[Electronegativity]],CS[LM[Mass]],CS[LM[Specific heat]],CS[LM[vdWRadius]],CS[Sh[Adjacency]],CS[Sh[CfMax]],CS[Sh[CfMin]],CS[Sh[CjMax]],CS[Sh[CjMin]],CS[Sh[Conectivity]],CS[Sh[D3D]],CS[Sh[Detour]],CS[Sh[Distance]],D3D,Detour,Distance,DS,IE[CfMax],IE[CfMin],IE[CjMax],IE[CjMin],IP[CfMax],IP[CfMin],IP[CjMax],IP[CjMin],PD^2S[LM[Atomic radius]],PD^2S[LM[Charge]],PD^2S[LM[Covalent radius]],PD^2S[LM[Electronegativity]],PD^2S[LM[Mass]],PD^2S[LM[Specific heat]],PD^2S[LM[vdWRadius]],PD^2S[Sh[Adjacency]],PD^2S[Sh[CfMax]],PD^2S[Sh[CfMin]],PD^2S[Sh[CjMax]],PD^2S[Sh[CjMin]],PD^2S[Sh[Conectivity]],PD^2S[Sh[D3D]],PD^2S[Sh[Detour]],PD^2S[Sh[Distance]],PDS[LM[Atomic radius]],PDS[LM[Charge]],PDS[LM[Covalent radius]],PDS[LM[Electronegativity]],PDS[LM[Mass]],PDS[LM[Specific heat]],PDS[LM[vdWRadius]],PDS[Sh[Adjacency]],PDS[Sh[CfMax]],PDS[Sh[CfMin]],PDS[Sh[CjMax]],PDS[Sh[CjMin]],PDS[Sh[Conectivity]],PDS[Sh[D3D]],PDS[Sh[Detour]],PDS[Sh[Distance]],PDS1[LM[Atomic radius]],PDS1[LM[Charge]],PDS1[LM[Covalent radius]],PDS1[LM[Electronegativity]],PDS1[LM[Mass]],PDS1[LM[Specific heat]],PDS1[LM[vdWRadius]],PDS1[Sh[Adjacency]],PDS1[Sh[CfMax]],PDS1[Sh[CfMin]],PDS1[Sh[CjMax]],PDS1[Sh[CjMin]],PDS1[Sh[Conectivity]],PDS1[Sh[D3D]],PDS1[Sh[Detour]],PDS1[Sh[Distance]],PDS2[LM[Atomic radius]],PDS2[LM[Charge]],PDS2[LM[Covalent radius]],PDS2[LM[Electronegativity]],PDS2[LM[Mass]],PDS2[LM[Specific heat]],PDS2[LM[vdWRadius]],PDS2[Sh[Adjacency]],PDS2[Sh[CfMax]],PDS2[Sh[CfMin]],PDS2[Sh[CjMax]],PDS2[Sh[CjMin]],PDS2[Sh[Conectivity]],PDS2[Sh[D3D]],PDS2[Sh[Detour]],PDS2[Sh[Distance]],PDS3[LM[Atomic radius]],PDS3[LM[Charge]],PDS3[LM[Covalent radius]],PDS3[LM[Electronegativity]],PDS3[LM[Mass]],PDS3[LM[Specific heat]],PDS3[LM[vdWRadius]],PDS3[Sh[Adjacency]],PDS3[Sh[CfMax]],PDS3[Sh[CfMin]],PDS3[Sh[CjMax]],PDS3[Sh[CjMin]],PDS3[Sh[Conectivity]],PDS3[Sh[D3D]],PDS3[Sh[Detour]],PDS3[Sh[Distance]],PDS4[LM[Atomic radius]],PDS4[LM[Charge]],PDS4[LM[Covalent radius]],PDS4[LM[Electronegativity]],PDS4[LM[Mass]],PDS4[LM[Specific heat]],PDS4[LM[vdWRadius]],PDS4[Sh[Adjacency]],PDS4[Sh[CfMax]],PDS4[Sh[CfMin]],PDS4[Sh[CjMax]],PDS4[Sh[CjMin]],PDS4[Sh[Conectivity]],PDS4[Sh[D3D]],PDS4[Sh[Detour]],PDS4[Sh[Distance]],PRD^2S[LM[Atomic radius]],PRD^2S[LM[Charge]],PRD^2S[LM[Covalent radius]],PRD^2S[LM[Electronegativity]],PRD^2S[LM[Mass]],PRD^2S[LM[Specific heat]],PRD^2S[LM[vdWRadius]],PRD^2S[Sh[Adjacency]],PRD^2S[Sh[CfMax]],PRD^2S[Sh[CfMin]],PRD^2S[Sh[CjMax]],PRD^2S[Sh[CjMin]],PRD^2S[Sh[Conectivity]],PRD^2S[Sh[D3D]],PRD^2S[Sh[Detour]],PRD^2S[Sh[Distance]],PRDS[LM[Atomic radius]],PRDS[LM[Charge]],PRDS[LM[Covalent radius]],PRDS[LM[Electronegativity]],PRDS[LM[Mass]],PRDS[LM[Specific heat]],PRDS[LM[vdWRadius]],PRDS[Sh[Adjacency]],PRDS[Sh[CfMax]],PRDS[Sh[CfMin]],PRDS[Sh[CjMax]],PRDS[Sh[CjMin]],PRDS[Sh[Conectivity]],PRDS[Sh[D3D]],PRDS[Sh[Detour]],PRDS[Sh[Distance]],Randic,SCH[AdjacencyAdjacencyConectivity],SCH[CfMinAdjacencyCfMax],SCH[CjMinAdjacencyCjMax],SCH[DistanceAdjacencyDetour],Size,SzMin,U,WkOp[Adjacency Conectivity Distance],WkOp[CfMin CfMax D3D],WkOp[Detour CjMin CjMax],X[LM[Atomic radius]],X[LM[Charge]],X[LM[Covalent radius]],X[LM[Electronegativity]],X[LM[Mass]],X[LM[Specific heat]],X[LM[vdWRadius]],X[Sh[Adjacency]],X[Sh[CfMax]],X[Sh[CfMin]],X[Sh[CjMax]],X[Sh[CjMin]],X[Sh[Conectivity]],X[Sh[D3D]],X[Sh[Detour]],X[Sh[Distance]]
20,2.84156,0,2.89985,2.46169,1.99047,2.90658,2.61195,16.442,2.60349,2.16406,2.61178,2.21593,16.2203,2.28763,1.96629,2.34071,28,260.27,0,221.34,745.28,3502,210.8,488.75,57,534,1940,519,1706,73,1040.27,3619,879,511.636,1801,431,16.2747,31.5,465,29.5,465,243.5,2648,233,2058,2988.58,0,2550.31,8683.31,40762,2481.39,5632.05,40,6351,22225,6192,18379,56,17215.4,45340,14782,773.7,0,659.05,2230.93,10478,634.13,1455.35,40,1643,5899,1598,5011,56,3915.08,11568,3342,36.24,0,30.73,102.49,482,28.73,67.85,40,78,312,74,312,56,57.1431,514,40,108.56,0,92.12,307.96,1448,86.52,203.4,0,200,874,200,756,0,298.566,1540,240,173.28,0,147.21,494.01,2322,139.29,325.05,0,399,1374,390,1242,0,671.165,2532,576,194.64,0,165.48,556.68,2616,157.32,365.4,0,432,1512,400,1296,0,1011.88,2904,864,60.9507,0,51.72,172.895,812.941,48.5725,114.197,40,127.944,507.702,123.111,482.016,56,146.751,871.723,114.871,103.738,0,88.1032,295.357,1388.4,83.1985,194.536,40,217.533,840.881,210.533,768.962,56,332.09,1500.72,272,8.36017,239,60480,52779,185200,17,930,136,980,1.37E+32,2.65E+38,0.127627,0,0.127551,0.0102373,0.0102375,0.127066,0.0102396,0.123529,0.0104648,0.0118613,0.0104413,0.0118578,0.132941,0.0103451,0.0130693,0.0102425
10,2.23576,0,2.28137,1.89261,1.49819,2.27679,2.03158,9.67127,1.97615,1.87404,1.98631,1.90185,9.56222,1.83352,1.74057,1.8583,13,86.8,0,75.2,268.8,1260,76.4,166.7,30,214,348,209,314,36,268.187,430,242,129.094,210,116,7.77773,29.5,94.5,29.5,94.5,99.5,235.5,96,213.5,636.04,0,552.26,1987.38,9312,566.66,1224.56,20,1541,2184,1461,1907,26,2857.05,3792,2704,200.72,0,174.18,625.7,2932,178.34,386.18,20,501,772,481,679,26,792.405,1152,736,17.52,0,15.11,53.27,250,14.95,33.49,20,60,100,60,100,26,27.778,68,20,45.64,0,39.32,138.12,648,39.08,87.08,0,92,206,92,172,0,124.593,248,104,61.74,0,53.82,196.02,918,55.98,119.43,0,168,261,168,234,0,235.377,360,216,48,0,41.84,152.24,712,44.56,92.68,0,124,148,104,116,0,224.668,304,224,26.4474,0,22.8337,80.759,378.872,22.766,50.6057,20,80.0753,138.145,79.7628,132.395,26,56.7663,118.217,45.6333,39.7693,0,34.3857,122.163,572.9,34.5717,76.2132,20,111.55,191.883,110.3,178.383,26,105.4,195,90,4.73638,107,6774,6123,10306,10,189,45,277,7.69E+13,1.12E+16,0.123065,0,0.12296,0.0102008,0.010201,0.122385,0.122955,0.12,0.0106047,0.0110104,0.0106047,0.0110087,0.126,0.0102841,0.0106925,0.0102053
16,2.44554,0,2.49403,2.12103,1.72118,2.49578,2.25044,13.5576,2.24321,1.92849,2.25003,1.95642,13.3901,1.98404,1.7618,2.02332,22,176.12,0,149.94,506.66,2380,143.78,331.1,46,333,1046,330,966,58,653.446,1922,562,319.723,954,274,12.9295,24.5,256.5,24.5,256.5,142,1158,140.5,1004,1848.16,0,1582.07,5440.71,25518,1568.87,3494.15,32,3929,10767,3872,9528,44,10559,21696,9236,489.88,0,418.11,1424.35,6686,407.23,923.35,32,1001,2961,988,2674,44,2392.24,5728,2080,28.96,0,24.57,82.09,386,23.05,54.25,32,55,203,55,203,44,44.8724,346,32,83.08,0,70.56,236.56,1112,66.64,155.8,0,132,554,132,494,0,222.199,932,184,113.7,0,96.6,324.24,1524,91.44,213.3,0,237,705,237,663,0,429.669,1350,378,107.92,0,91.84,309.92,1456,87.84,202.8,0,216,660,208,608,0,548.017,1264,480,46.1964,0,39.2216,131.35,617.5,36.9638,86.6023,32,85.8467,313.866,85.6817,303.269,44,103.804,543.38,82.3381,74.258,0,63.1073,212.013,996.429,59.8413,139.347,32,139.7,489.002,139,462.029,44,218.992,868.2,182,6.84334,185,25471,23885,76033,14,513,91,634,5.48E+23,6.91E+28,0.126647,0,0.126559,0.0102301,0.0102304,0.126008,0.126556,0.122857,0.0103976,0.01147,0.0103976,0.0114678,0.131429,0.0103286,0.012505,0.0102352
17,2.26544,0,2.29271,2.01669,1.72689,2.2789,2.12196,15.7304,2.05708,1.92874,2.0596,1.93515,15.5784,1.90691,1.82767,1.91328,25,219.52,0,191.36,696.96,3264,199.04,424.64,50,798,1416,784,1344,66,961.937,1618,922,472.969,801,453,13.6361,104,379.5,104,379.5,538,1609,519,1474,3736.78,0,3315.68,12717.5,59448,3639.32,7385.24,34,12236,19929,12012,19215,50,26646,38770,26658,763.94,0,671.72,2510.08,11744,717.84,1493.28,34,2672,4587,2616,4369,50,4577.34,7086,4510,29.78,0,25.68,90.44,424,25.88,56.84,34,144,272,144,272,50,45.741,130,34,80.36,0,69.4,245.64,1152,69.64,153.76,0,304,556,304,504,0,215.166,408,184,120.06,0,103.89,369.93,1734,105.45,230.19,0,534,912,534,858,0,436.949,822,414,124.32,0,108,389.28,1824,110.88,239.52,0,384,880,328,768,0,603.372,1152,576,48.0164,0,41.4738,146.833,688.344,41.9187,91.8468,34,213.941,398.843,213.066,388.593,50,110.982,248.235,94.0135,81.5995,0,70.6933,252.647,1184.03,72.0931,156.666,34,338.936,623.112,335.436,597.112,50,263.82,508.457,240,7.68154,196,65968,60924,93556,16,759,120,998,8.15E+28,5.89E+31,0.12495,0,0.124687,0.0102105,0.0102107,0.123909,0.124627,0.12125,0.0109096,0.0117176,0.0109096,0.0117159,0.13125,0.0102927,0.0108254,0.0102183
14,2.10585,0,2.14082,1.87003,1.57143,2.14267,1.96448,12.7059,1.91823,1.76644,1.91985,1.77301,12.5691,1.76275,1.67792,1.77866,20,151.71,0,129.22,437.32,2054,124.28,285.35,41,429,801,426,772,53,568.897,997,517,277.948,492,252,11.2991,47,225,47,225,251.5,843.5,244.5,772.5,1877.24,0,1608.18,5543.78,25996,1602.02,3551.9,28,5166,8878,5118,8600,40,11187.9,16464,10512,450,0,384.3,1311.66,6156,375.66,848.7,28,1292,2312,1280,2226,40,2278.64,3620,2116,25.32,0,21.49,71.89,338,20.21,47.45,28,78,182,78,182,40,38.6819,124,28,64.88,0,55.16,185.56,872,52.44,121.8,0,172,352,172,328,0,172.261,336,144,86.4,0,73.5,247.74,1164,70.14,162.3,0,342,528,342,510,0,307.13,552,288,79.44,0,67.48,226.36,1064,63.8,149,0,216,440,204,396,0,383.611,736,352,38.9453,0,33.0804,110.95,521.524,31.2668,73.0434,28,118.232,257.222,118.044,252.868,40,84.7088,208.264,68.8738,62.0575,0,52.7626,177.52,834.207,50.1744,116.506,28,187.39,382.229,186.64,371.479,40,180.141,372.61,156,6.36017,155,25057,23369,39548,13,450,78,574,1.10E+21,4.76E+23,0.124742,0,0.124659,0.0102165,0.0102167,0.124146,0.124657,0.121538,0.0106067,0.0114137,0.0106067,0.0114127,0.130769,0.0103043,0.0109669,0.010221
10,2.20058,0,2.26295,1.72993,1.23491,2.24517,1.91947,9.53182,1.83278,1.71295,1.84557,1.74863,9.37872,1.65806,1.53229,1.69239,13,86.8,0,75.2,268.8,1260,76.4,166.7,30,215,347,210,312,36,267.108,432,240,128.554,211,115,7.77773,29.5,93.5,29.5,93.5,100.5,232.5,97.5,210,614.36,0,534.56,1935.52,9062,557.4,1185.03,20,1510,2128,1430,1847,26,2690.43,3710,2522,198.68,0,172.54,621.18,2910,177.7,382.51,20,500,764,480,669,26,774.232,1150,714,17.52,0,15.11,53.27,250,14.95,33.49,20,60,100,60,100,26,27.7779,68,20,45.64,0,39.32,138.12,648,39.08,87.08,0,92,206,92,170,0,124.593,248,104,62.22,0,54.03,194.55,912,54.99,119.88,0,171,261,171,234,0,236.077,360,216,47.6,0,41.68,153.84,720,44.08,92.56,0,132,152,112,120,0,223.687,304,224,26.4788,0,22.8566,80.7955,379.068,22.7572,50.6573,20,80.2558,138.152,79.9433,132.152,26,56.8875,118.443,45.7,39.8463,0,34.4443,122.288,573.533,34.569,76.345,20,112.05,191.8,110.8,177.8,26,105.621,195.8,90,4.73638,107,6722,6063,10280,10,187,45,275,7.47E+13,1.16E+16,0.123067,0,0.122961,0.0102008,0.010201,0.122381,0.122956,0.12,0.0106047,0.0110104,0.0106047,0.0110086,0.126,0.0102841,0.0106925,0.0102053
16,2.44794,0,2.49528,2.11899,1.71982,2.49001,2.2515,13.5576,2.24321,1.92849,2.25003,1.95642,13.3901,1.98396,1.7618,2.02332,22,173.88,0,148.96,513.52,2408,148.4,329,46,333,1046,330,966,58,653.119,1922,562,319.56,954,274,12.9,24.5,256.5,24.5,256.5,142,1158,140.5,1004,1831.84,0,1574.93,5490.69,25722,1602.53,3478.85,32,3929,10767,3872,9528,44,10589.6,21696,9236,484.44,0,415.73,1441.01,6754,418.45,918.25,32,1001,2961,988,2674,44,2395.79,5728,2080,28.64,0,24.43,83.07,390,23.71,53.95,32,55,203,55,203,44,44.478,346,32,81.8,0,70,240.48,1128,69.28,154.6,0,132,554,132,494,0,220.898,932,184,111.78,0,95.76,330.12,1548,95.4,211.5,0,237,705,237,663,0,428.275,1350,378,106,0,91,315.8,1480,91.8,201,0,216,660,208,608,0,547.937,1264,480,45.6153,0,38.9673,133.13,624.764,38.1623,86.0575,32,85.8467,313.866,85.6817,303.269,44,103.234,543.38,82.3381,73.2846,0,62.6815,214.994,1008.6,61.8488,138.434,32,139.7,489.002,139,462.029,44,218.331,868.2,182,6.84334,185,25471,23885,76033,14,513,91,634,5.49E+23,6.91E+28,0.126675,0,0.126573,0.0102298,0.0102301,0.125959,0.12657,0.122857,0.0103976,0.01147,0.0103976,0.0114678,0.131429,0.0103257,0.012505,0.0102352
11,2.27728,0,2.30722,1.84307,1.43169,2.24256,2.0352,10.6498,1.96807,1.85558,1.97543,1.87699,10.4389,1.79453,1.70263,1.81475,16,98.01,0,88,348.7,1628,100.1,196.46,33,277,447,273,413,43,340.088,527,315,164.544,258,152,8.65445,40.5,120,40.5,120,137.5,319.5,134.5,294.5,806.36,0,742.55,3140.47,14630,904.47,1666.11,22,2193,3149,2129,2877,32,4310.12,5588,4156,240.36,0,218.59,895.87,4178,257.39,489.29,22,677,1049,661,957,32,1100.32,1548,1044,18.6,0,16.33,60.73,284,17.57,36.26,22,77,121,77,121,32,29.0391,70,22,50.2,0,44.32,167.6,784,47.76,98.64,0,120,248,120,212,0,138.379,264,120,68.58,0,61.32,240.24,1122,69,136.77,0,192,336,192,312,0,266.545,444,252,50.08,0,45.8,190.44,888,54.44,102.68,0,164,220,148,188,0,270.314,336,256,28.5641,0,25.2083,95.1862,445.017,27.4159,56.0553,22,102.585,168.793,102.335,162.904,32,63.1177,127.681,53,43.8107,0,38.9192,149.75,699.767,43.0365,86.6815,22,143.25,238.75,142.25,225.083,32,124.235,221.933,110,5.10906,127,10237,9456,14981,11,240,55,362,1.25E+16,2.08E+18,0.123964,0,0.123453,0.0101942,0.0101946,0.122201,0.123334,0.12,0.0107055,0.0111114,0.0107055,0.0111097,0.129091,0.0102704,0.0106485,0.0102055
15,2.39098,0,2.44029,2.07132,1.67447,2.44462,2.19764,13.6014,2.09065,1.94207,2.10113,1.96364,13.4291,1.95743,1.80533,1.9683,21,173.88,0,148.96,513.52,2408,148.4,329,44,576,964,556,876,56,621.78,1228,588,303.89,607,287,12.0503,66.5,249.5,66.5,249.5,361,973.5,339,839.5,1977.82,0,1699.04,5908.2,27684,1720.52,3752.9,30,6536,9990,6216,9134,42,10090.7,18470,10006,507.3,0,435.4,1509.76,7076,438.56,961.7,30,1720,2734,1640,2470,42,2300.22,4370,2242,26.98,0,22.96,77.48,364,21.96,50.7,30,98,210,98,210,42,41.2137,126,30,71.52,0,61.04,207.92,976,59.44,134.8,0,224,432,224,368,0,190.703,384,160,106.32,0,91.14,314.82,1476,91.14,201.3,0,492,648,492,576,0,382.521,696,360,112.64,0,96.88,338.16,1584,98.8,214,0,344,624,264,496,0,520.926,1152,512,42.8574,0,36.5475,124.165,582.978,35.4109,80.709,30,153.08,303.135,151.83,290.469,42,94.7733,231.272,78.819,70.28,0,60.0583,205.415,963.895,58.9425,132.637,30,248.91,457.476,243.91,425.476,42,203.528,442.267,182,6.78769,168,36016,31230,51548,14,499,91,650,6.16E+23,5.27E+26,0.124912,0,0.124758,0.0102141,0.0102145,0.123833,0.124753,0.121429,0.0107081,0.0115156,0.0107081,0.0115133,0.13,0.0103013,0.0109139,0.0102201
17,2.41212,0,2.44533,2.12014,1.78157,2.43154,2.24295,14.6475,2.22315,1.96552,2.23133,1.99145,14.5217,1.99482,1.8235,2.02825,23,198.45,0,170.55,594.45,2790,167.85,377.55,49,413,1287,407,1183,61,801.399,2225,689,393.199,1105,337,13.6596,34.5,309.5,34.5,309.5,183,1458.5,180,1277.5,2373,0,2068.08,7526.64,35250,2149.08,4589.01,34,5444,14804,5330,12962,46,15385.7,29392,13394,586.88,0,507.64,1805.64,8466,512.56,1125.01,34,1300,3840,1274,3442,46,3189.08,7136,2766,30.52,0,26,88.08,414,24.68,57.47,34,74,232,74,232,46,47.5826,348,34,89.32,0,76.28,260.52,1224,73.16,168.68,0,148,652,148,580,0,241.252,1036,200,123.06,0,105.18,360.18,1692,101.22,232.62,0,270,840,270,792,0,473.442,1494,414,120.4,0,103.28,357.84,1680,100.88,228.56,0,256,816,240,752,0,620.965,1440,544,49.3751,0,42.1366,143.573,674.629,40.2928,93.1662,34,109.572,364.927,109.242,352.067,46,114.3,570.734,90.9595,80.9627,0,69.2629,237.896,1117.38,66.909,153.209,34,174.021,580.726,172.621,547.212,46,252.08,948.667,210,7.23718,198,35750,33478,100920,15,619,105,766,3.79E+26,6.09E+31,0.126779,0,0.126554,0.0102256,0.0102259,0.12565,0.126516,0.122667,0.0104983,0.0115686,0.0104983,0.0115662,0.130667,0.0103254,0.0123549,0.0102334
17,2.55101,0,2.60454,2.21527,1.7921,2.61646,2.34665,14.5297,2.308,1.99514,2.31139,2.03073,14.3303,2.07225,1.8143,2.10497,24,202.35,0,172.2,581.1,2730,164.7,380.25,49,424,1310,420,1169,63,755.89,2387,667,370.445,1186,326,13.7869,25.5,371,25.5,371,215,1569.5,213,1318.5,2245.12,0,1916.39,6530.55,30654,1867.67,4232.15,34,5354,14232,5288,12184,48,12307.9,28308,11164,584.52,0,498.19,1689.55,7934,481.07,1100.15,34,1344,3830,1328,3334,48,2799,7336,2512,30.78,0,26.11,87.19,410,24.47,57.65,34,58,255,58,255,48,47.4641,402,34,86.72,0,73.64,246.76,1160,69.48,162.6,0,138,572,138,470,0,233.293,1072,192,135.06,0,114.87,386.91,1818,109.47,253.65,0,342,972,339,915,0,498.868,1674,450,136.4,0,116.2,393.48,1848,111.88,256.6,0,304,872,296,704,0,681.892,1712,608,49.9797,0,42.4329,142.096,668.02,39.9853,93.6929,34,95.8722,383.492,95.596,365.11,48,113.819,640.018,91.5381,82.5595,0,70.1605,235.689,1107.71,66.5187,154.921,34,166.576,599.79,165.543,552.4,48,247.535,1045.19,210,7.36017,197,37092,33381,104925,15,742,105,746,3.74E+26,8.44E+31,0.126392,0,0.126312,0.0102283,0.0102285,0.125809,0.126309,0.122667,0.0103913,0.0117193,0.0103913,0.0117159,0.132,0.0103243,0.0127161,0.0102332
9,2.1715,0,2.2369,1.76057,1.28737,2.24373,1.92003,8.58576,1.88053,1.75154,1.8975,1.79358,8.43266,1.69345,1.5903,1.73944,12,72.27,0,61.74,210.96,990,60.48,136.35,27,151,257,147,229,33,205.831,333,177,98.4157,162,84,7.11526,18.5,72,18.5,72,62,162,60,148,418.64,0,358.68,1236.92,5800,357.56,792.2,18,923,1329,859,1129,24,1707.39,2200,1512,149.36,0,127.82,439.18,2060,126.54,282.3,18,327,521,311,449,24,539.74,776,472,16.22,0,13.79,46.39,218,13.11,30.45,18,45,81,45,81,24,25.2579,66,18,43.04,0,36.68,124.36,584,35.4,81,0,64,168,64,136,0,116.502,240,96,53.16,0,45.57,157.41,738,45.57,100.65,0,132,186,132,162,0,200.631,276,180,27.84,0,24.08,85.52,400,25.36,53.2,0,76,76,60,60,0,139.513,144,128,24.0767,0,20.5006,69.3053,325.543,19.6758,45.27,18,59.1564,110.156,58.9064,105.018,24,49.894,108.872,39.0667,34.9907,0,29.8363,101.335,475.8,28.8923,65.8883,18,80.8167,148.817,79.8167,137.15,24,87.7088,167.667,72,4.19838,99,3911,3568,6423,9,144,36,210,6.40E+11,6.35E+13,0.123109,0,0.123006,0.0102006,0.0102009,0.122379,0.123003,0.12,0.0105036,0.0109094,0.0105036,0.0109076,0.126667,0.0102872,0.0107468,0.126037
12,2.32988,0,2.40369,1.84753,1.31403,2.39726,2.03656,10.37,2.00818,1.69273,2.01623,1.74443,10.0961,1.75723,1.46592,1.7922,17,106.59,0,91.63,319.33,1496,93.17,202.4,35,208,499,206,446,45,326.007,863,291,157.504,426,140,9.63727,17,150,17,150,93.5,440.5,92.5,380.5,753.48,0,649.46,2282.18,10684,670.66,1434.7,24,1684,3459,1659,2934,34,3212.63,6608,2992,245.84,0,211.68,741.44,3472,217.28,467.6,24,528,1173,521,1014,34,940.236,2156,860,21.36,0,18.27,62.67,294,18.03,40.35,24,40,132,40,132,34,33.0473,192,24,56.64,0,48.58,168.1,788,48.74,107.3,0,88,270,88,226,0,153.193,496,128,79.02,0,68.04,238.32,1116,69.84,150.3,0,192,402,189,369,0,291.753,678,270,62.32,0,54.04,193.4,904,57.72,119.4,0,148,264,144,192,0,313.279,560,288,32.5524,0,27.8889,96.1626,450.918,27.7946,61.5968,24,60.9036,185.604,60.73,177.677,34,69.0887,289.701,55.7,49.255,0,42.2625,146.421,686.3,42.5005,93.3475,24,94.9833,264.867,94.4,245.3,34,129.301,435.533,110,5.37701,135,9371,8467,22360,11,300,55,342,1.73E+16,7.34E+19,0.125254,0,0.125138,0.0102188,0.0102191,0.124457,0.125134,0.121818,0.0103677,0.0112124,0.0103677,0.0112104,0.130909,0.0103075,0.0117682,0.0102241
17,2.42757,0,2.46274,2.11855,1.76451,2.44267,2.2492,15.6598,2.14449,2.01432,2.14789,2.02509,15.4685,2.01332,1.87678,2.00993,25,219.52,0,191.36,696.96,3264,199.04,424.64,50,846,1392,832,1302,66,876.656,1666,874,430.328,825,429,13.6361,110,355.5,110,355.5,586,1510,555,1322,3250.06,0,2869.52,10848.6,50712,3130.76,6380.6,34,11572,17515,11348,16513,50,19068.5,34282,20394,726.5,0,637.4,2366.32,11072,678.72,1416,34,2744,4329,2688,4039,50,3735.3,6894,3886,29.78,0,25.68,90.44,424,25.88,56.84,34,144,272,144,272,50,45.741,130,34,80.36,0,69.4,245.64,1152,69.64,153.76,0,304,556,304,504,0,215.165,408,184,120.06,0,103.89,369.93,1734,105.45,230.19,0,588,912,588,858,0,437.404,822,414,136.8,0,119.44,437.2,2048,123.92,265.28,0,552,872,496,688,0,653.643,1280,640,48.3479,0,41.7778,148.106,694.296,42.2651,92.5312,34,218.791,398.97,217.916,387.595,50,111.036,253.803,95.2643,82.5751,0,71.5877,256.393,1201.54,73.1125,158.68,34,355.223,621.694,351.723,591.194,50,257.244,528.971,240,7.68154,196,66580,59358,91436,16,711,120,950,4.83E+28,9.04E+31,0.124953,0,0.12469,0.0102105,0.0102107,0.123913,0.12463,0.12125,0.0109096,0.0117176,0.0109096,0.0117159,0.13125,0.0102927,0.0108254,0.0102183
9,2.19234,0,2.24696,1.74227,1.27323,2.2256,1.92675,8.58576,1.88053,1.75154,1.8975,1.79358,8.43266,1.69685,1.5903,1.73944,12,69.93,0,60.75,218.97,1026,62.37,134.73,27,151,257,147,229,33,203.795,333,177,97.3974,162,84,7.08149,18.5,72,18.5,72,62,162,60,148,398.62,0,350.21,1305.45,6108,373.73,778.34,18,923,1329,859,1129,24,1687.27,2200,1512,143.38,0,125.29,459.65,2152,131.37,278.16,18,327,521,311,449,24,533.84,776,472,15.96,0,13.68,47.28,222,13.32,30.27,18,45,81,45,81,24,24.974,66,18,42,0,36.24,127.92,600,36.24,80.28,0,64,168,64,136,0,115.515,240,96,50.82,0,44.58,165.42,774,47.46,99.03,0,132,186,132,162,0,198.557,276,180,26.8,0,23.64,89.08,416,26.2,52.48,0,76,76,60,60,0,138.377,144,128,23.5734,0,20.2877,71.0281,333.287,20.0824,44.9216,18,59.1564,110.156,58.9064,105.018,24,49.3808,108.872,39.0667,34.0937,0,29.4568,104.406,489.6,29.6168,65.2673,18,80.8167,148.817,79.8167,137.15,24,86.8199,167.667,72,4.19838,99,3911,3568,6423,9,144,36,210,6.19E+11,6.35E+13,0.12347,0,0.12318,0.010197,0.0101974,0.122073,0.123131,0.12,0.0105036,0.0109094,0.0105036,0.0109076,0.126667,0.010284,0.0107468,0.126037
17,2.39143,0,2.43004,2.11872,1.78024,2.4242,2.22935,14.6384,2.18355,1.94402,2.18854,1.96927,14.4843,1.99362,1.80662,2.01712,24,197.55,0,170.1,595.8,2790,174.6,375.75,49,435,1306,429,1199,63,788.038,2363,699,386.519,1174,342,13.6861,25.5,391,25.5,391,249,1611.5,243,1406,2499.84,0,2152.78,7543.66,35324,2211.5,4755.5,34,6569,15989,6404,14007,48,15354.6,30936,13932,600.36,0,517.02,1811.82,8484,531.18,1142.1,34,1483,3993,1452,3579,48,3163.17,7532,2848,30.14,0,25.83,89.15,418,25.79,57.05,34,58,255,58,255,48,47.1339,402,34,84.16,0,72.52,254.6,1192,74.76,160.2,0,136,572,136,488,0,231.205,1072,192,119.82,0,103.74,369.54,1728,109.86,229.2,0,342,882,342,852,0,457.26,1518,414,112,0,96.6,340.12,1592,100.12,213.4,0,236,744,228,668,0,564.276,1472,512,48.2657,0,41.4616,144.167,675.527,41.9801,91.5817,34,95.0765,379.562,94.8282,365.781,48,111.552,632.554,90.1929,79.3405,0,68.2519,238.368,1116.5,69.678,150.764,34,165.77,590.748,164.57,555.77,48,246.071,1026.2,210,7.3265,197,38233,35409,108711,15,782,105,778,3.53E+26,7.05E+31,0.126407,0,0.126303,0.0102277,0.010228,0.125705,0.1263,0.122667,0.0103913,0.0117193,0.0103913,0.0117165,0.132,0.010322,0.0127161,0.0102332
